school_number,english_language_learners,hispanic,other_race,poverty,students_with_disabilities,white,asian,black,grade,mean_scale_score,any_lead_free_buildings,lead_percent,minority,race
K003,0.0889,0.0988,0.0395,0.8874,0.0968,0.0296,0.1126,0.7194,All Grades,282,No,0.11009174311926606,Minority,Black
K008,0.0261,0.1159,0.0716,0.1523,0.1466,0.5989,0.0591,0.1545,All Grades,324,No,0.0449438202247191,White,White
K009,0.0389,0.1244,0.0578,0.4673,0.1721,0.2575,0.0678,0.4925,All Grades,313,No,0.05660377358490566,Minority,Black
K011,0.0199,0.1071,0.0436,0.4807,0.1046,0.1258,0.0399,0.6837,All Grades,339,No,0.05555555555555555,Minority,Black
K020,0.0265,0.1804,0.0398,0.618,0.1777,0.1592,0.0424,0.5782,All Grades,303,No,0.013071895424836602,Minority,Black
K044,0.023,0.0843,0.0077,0.9464,0.1762,0.0383,0.0192,0.8506,All Grades,288,No,0.04225352112676056,Minority,Black
K046,0.1178,0.4862,0.015,0.9048,0.2105,0.0125,0.0075,0.4787,All Grades,288,No,0.01652892561983471,Minority,Hispanic
K054,0.1089,0.3911,0.0242,0.8468,0.1613,0.0081,0.0242,0.5524,All Grades,265,No,0.05333333333333334,Minority,Black
K056,0.0261,0.1043,0.0174,0.8174,0.1652,0.0348,0.0261,0.8174,All Grades,286,No,0.09401709401709402,Minority,Black
K067,0.0769,0.3547,0.0256,0.9872,0.2863,0.0214,0.0726,0.5256,All Grades,281,No,0.03508771929824561,Minority,Black
K093,0.098,0.0359,0.0131,0.9575,0.1569,0.0327,0.1993,0.719,All Grades,291,No,0.02857142857142857,Minority,Black
K113,0.0603,0.1986,0.0106,0.8227,0.211,0.0213,0.0461,0.7234,All Grades,274,No,0.09803921568627451,Minority,Black
K133,0.0321,0.3125,0.0625,1,0.1411,0.3018,0.0161,0.3071,All Grades,306,NA,NA,Minority,Hispanic
K256,0.104,0.2599,0,0.9602,0.1529,0.0061,0.0153,0.7187,All Grades,301,No,0.023255813953488372,Minority,Black
K265,0.0404,0.2399,0.0214,0.8005,0.2138,0.0048,0.0119,0.7221,All Grades,272,No,0.13924050632911392,Minority,Black
K266,0,0.2846,0.0154,0.8231,0.2846,0.0154,0.0077,0.6769,All Grades,285,NA,NA,Minority,Black
K270,0.085,0.1961,0.0065,0.9216,0.2092,0.0327,0.0392,0.7255,All Grades,291,No,0.043010752688172046,Minority,Black
K282,0.0301,0.2495,0.0172,0.6452,0.1237,0.1011,0.0269,0.6054,All Grades,298,No,0.11811023622047244,Minority,Black
K287,0.0151,0.2161,0.0251,0.9146,0.1608,0.0201,0.0603,0.6784,All Grades,271,No,0.07462686567164178,Minority,Black
K301,0.1345,0.1176,0.0168,0.9496,0.2857,0.0168,0.1092,0.7395,All Grades,280,NA,NA,Minority,Black
K305,0.0904,0.1064,0.0319,0.9043,0.1543,0.0266,0.0585,0.7766,All Grades,278,No,0.045454545454545456,Minority,Black
K307,0.0242,0.2809,0.0291,0.8475,0.2906,0.0702,0.0315,0.5884,All Grades,287,No,0.09375,Minority,Black
K313,0.0385,0.3462,0.0192,0.8846,0.3269,0.0096,0.0481,0.5769,All Grades,301,No,0.025,Minority,Black
K351,0.1117,0.1543,0.0053,0.8883,0.234,0.016,0.0851,0.7394,All Grades,272,NA,NA,Minority,Black
K492,0.004,0.1538,0.0607,0.3259,0.1538,0.2733,0.0628,0.4494,All Grades,316,NA,NA,Minority,Black
K527,0.0277,0.1468,0.0234,0.8191,0.1681,0.0596,0.0319,0.7383,All Grades,287,NA,NA,Minority,Black
K691,0.0617,0.2428,0.0123,0.823,0.2058,0.0165,0.0247,0.7037,All Grades,265,NA,NA,Minority,Black
K016,0.105,0.7185,0.0084,1,0.2521,0.0168,0,0.2563,All Grades,283,No,0.0375,Minority,Hispanic
K017,0.1383,0.8328,0.0096,1,0.2862,0.0836,0.0193,0.0547,All Grades,308,No,0.04,Minority,Hispanic
K018,0.2135,0.849,0,0.8802,0.2135,0.0052,0.0052,0.1406,All Grades,294,No,0.08888888888888889,Minority,Hispanic
K023,0.1044,0.4343,0.0034,1,0.2593,0.0202,0.0067,0.5354,All Grades,281,No,0.03007518796992481,Minority,Black
K031,0.0658,0.4575,0.0128,0.7175,0.1252,0.39,0.0915,0.0482,All Grades,329,No,0.2682926829268293,Minority,Hispanic
K034,0.1367,0.1816,0.0039,1,0.125,0.7344,0.0391,0.041,All Grades,321,No,0,White,White
K050,0.2795,0.8384,0,0.7948,0.3013,0.0218,0.0087,0.131,All Grades,286,No,0.038834951456310676,Minority,Hispanic
K059,0.1108,0.4985,0.0092,1,0.1846,0.0215,0,0.4708,All Grades,288,No,0.04065040650406504,Minority,Hispanic
K071,0.2254,0.7962,0.0058,1,0.3295,0.0347,0.0087,0.1546,All Grades,275,No,0.13,Minority,Hispanic
